Age,Income,Risk_Tolerance,Investment_Goal_Encoded,Experience_Years,User_Class
59,2255537,8,3,38,Aggressive
44,1191225,2,0,23,Conservative
58,273517,1,2,37,Conservative
62,3161525,3,1,41,Moderate
18,916721,9,2,0,Aggressive
32,818435,10,1,11,Aggressive
38,2169462,6,0,17,Moderate
44,3894923,1,1,23,Conservative
58,695209,8,1,37,Moderate
21,2748394,3,2,0,Moderate
66,956719,1,2,45,Conservative
48,1333090,4,2,27,Moderate
69,1145508,5,1,48,Moderate
46,1218119,6,0,25,Moderate
62,2000000,6,2,0,Moderate
23,2937274,10,0,2,Aggressive
38,151897,2,3,17,Conservative
65,1857887,9,0,44,Aggressive
48,610994,5,1,27,Moderate
41,967831,4,0,20,Conservative
52,2468295,4,2,31,Moderate
37,190711,3,3,16,Moderate
50,1007123,2,2,29,Conservative
62,900000,7,3,5,Moderate
51,2656666,3,1,30,Moderate
23,1144289,2,2,2,Moderate
68,708680,2,2,47,Conservative
59,916028,1,2,38,Conservative
24,791639,6,2,3,Moderate
62,350000,3,2,5,Conservative
59,226489,10,2,38,Aggressive
61,1468965,6,1,40,Moderate
18,1413659,8,0,0,Moderate
23,371740,5,1,2,Moderate
42,484428,9,2,21,Aggressive
63,1279207,6,2,42,Moderate
62,900000,8,2,10,Moderate
23,3260574,8,2,2,Aggressive
38,680746,2,2,17,Conservative
48,2274470,2,0,27,Conservative
32,746368,8,1,11,Moderate
19,3051610,9,2,0,Aggressive
43,2575271,5,1,22,Moderate
46,1778773,2,1,25,Conservative
43,373402,7,3,22,Moderate
31,213410,5,1,10,Moderate
49,651057,3,2,28,Conservative
49,3727745,2,2,28,Moderate
26,900000,8,1,10,Aggressive
47,963477,10,2,26,Aggressive
44,2729959,7,3,23,Aggressive
36,756435,4,2,15,Moderate
32,1005020,2,0,11,Conservative
38,2512714,3,2,17,Moderate
19,463354,10,0,0,Aggressive
34,734199,3,2,13,Moderate
43,1419636,2,3,22,Moderate
58,797102,3,1,37,Conservative
61,1193074,5,0,40,Moderate
24,257249,6,2,3,Moderate
49,743948,4,2,28,Moderate
23,519194,4,0,2,Conservative
37,352033,3,2,16,Conservative
35,372104,8,1,14,Moderate
37,3036694,3,2,16,Moderate
